"No.","Time","Source","Destination","Protocol","Length","Info"
"424","21.998071","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3093, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"425","22.100516","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3094, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"426","22.202844","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3095, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"427","22.305240","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3096, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"428","22.407685","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3097, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"429","22.510019","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3098, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"430","22.612481","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3099, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"431","22.714765","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3100, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"436","22.817270","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3101, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"437","22.919645","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3102, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"438","23.022032","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3103, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"439","23.124352","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3104, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"440","23.226851","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3105, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"441","23.329257","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3106, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"442","23.431593","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3107, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"443","23.533998","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3108, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"444","23.636384","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3109, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"445","23.738803","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3110, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"450","23.841201","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3111, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"451","23.943616","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3112, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
