"No.","Time","Source","Destination","Protocol","Length","Info"
"721","2.478546","Cisco_a9:50:a2","Broadcast","802.11","252","Beacon frame, SN=1350, FN=0, Flags=........C, BI=100, SSID=alumnos"
"730","2.488292","Cisco_1b:d2:64","Broadcast","802.11","252","Beacon frame, SN=2703, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"732","2.491441","Cisco_a9:50:a4","Broadcast","802.11","252","Beacon frame, SN=1351, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"733","2.500636","Cisco_1b:d2:60","Broadcast","802.11","248","Beacon frame, SN=2704, FN=0, Flags=........C, BI=100, SSID=pas"
"736","2.502951","Cisco_a9:50:a0","Broadcast","802.11","248","Beacon frame, SN=1352, FN=0, Flags=........C, BI=100, SSID=pas"
"738","2.503835","Cisco_9a:9d:51","Broadcast","802.11","252","Beacon frame, SN=3772, FN=0, Flags=........C, BI=100, SSID=eduroam"
"741","2.505201","Cisco_1b:d5:05","Broadcast","802.11","248","Beacon frame, SN=1016, FN=0, Flags=........C, BI=100, SSID=pdi"
"743","2.512668","Cisco-Li_72:e1:78","Broadcast","802.11","135","Beacon frame, SN=3463, FN=0, Flags=........C, BI=100, SSID=NEO"
"748","2.517301","Cisco_1b:d5:01","Broadcast","802.11","252","Beacon frame, SN=1017, FN=0, Flags=........C, BI=100, SSID=eduroam"
"752","2.525362","Cisco-Li_a6:53:7c","Broadcast","802.11","133","Beacon frame, SN=3409, FN=0, Flags=........C, BI=100, SSID=GISUM_W1"
"754","2.528195","Cisco_9a:9d:52","Broadcast","802.11","252","Beacon frame, SN=3773, FN=0, Flags=........C, BI=100, SSID=alumnos"
"761","2.539499","Cisco_9b:54:d5","Broadcast","802.11","248","Beacon frame, SN=3646, FN=0, Flags=........C, BI=100, SSID=pdi"
"762","2.540364","Cisco_9a:9d:54","Broadcast","802.11","252","Beacon frame, SN=3774, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"763","2.541493","Cisco_1b:d2:65","Broadcast","802.11","248","Beacon frame, SN=2705, FN=0, Flags=........C, BI=100, SSID=pdi"
"764","2.541879","Cisco_1b:d5:02","Broadcast","802.11","252","Beacon frame, SN=1018, FN=0, Flags=........C, BI=100, SSID=alumnos"
"767","2.544252","Cisco_a9:50:a5","Broadcast","802.11","248","Beacon frame, SN=1353, FN=0, Flags=........C, BI=100, SSID=pdi"
"774","2.551588","Cisco_9b:54:d1","Broadcast","802.11","252","Beacon frame, SN=3647, FN=0, Flags=........C, BI=100, SSID=eduroam"
"777","2.553274","Cisco_9a:9d:50","Broadcast","802.11","248","Beacon frame, SN=3775, FN=0, Flags=........C, BI=100, SSID=pas"
"778","2.554122","Cisco_1b:d2:61","Broadcast","802.11","252","Beacon frame, SN=2706, FN=0, Flags=........C, BI=100, SSID=eduroam"
"782","2.556190","Cisco_a9:50:a1","Broadcast","802.11","252","Beacon frame, SN=1354, FN=0, Flags=........C, BI=100, SSID=eduroam"
